100 1050
1 12 1
1 23 1
1 50 1
1 51 1
1 64 1
1 66 1
1 78 1
1 79 1
1 89 1
2 11 1
2 29 1
2 65 1
2 75 1
2 76 1
2 78 1
2 87 1
2 98 1
3 23 1
3 31 1
3 37 1
3 41 1
3 46 1
3 65 1
3 71 1
3 78 1
3 87 1
3 91 1
3 94 1
3 98 1
4 1 1
4 12 1
4 14 1
4 20 1
4 58 1
4 66 1
4 69 1
4 77 1
4 82 1
5 12 1
5 4 1
5 67 1
5 71 1
5 74 1
5 82 1
5 9 1
5 98 1
5 99 1
6 18 1
6 20 1
6 32 1
6 49 1
6 52 1
6 55 1
6 63 1
6 64 1
6 88 1
6 9 1
7 28 1
7 46 1
7 55 1
7 66 1
7 67 1
7 79 1
7 81 1
7 85 1
7 88 1
8 12 1
8 32 1
8 61 1
8 67 1
8 7 1
8 74 1
8 78 1
8 80 1
8 88 1
8 97 1
9 1 1
9 12 1
9 13 1
9 35 1
9 41 1
9 46 1
9 55 1
9 60 1
9 86 1
10 12 1
10 18 1
10 31 1
10 37 1
10 50 1
10 56 1
10 65 1
10 72 1
10 92 1
11 12 1
11 19 1
11 27 1
11 35 1
11 6 1
11 73 1
11 79 1
11 90 1
11 97 1
12 100 1
12 14 1
12 15 1
12 16 1
12 17 1
12 18 1
12 2 1
12 21 1
12 23 1
12 25 1
12 27 1
12 3 1
12 33 1
12 34 1
12 36 1
12 37 1
12 38 1
12 41 1
12 44 1
12 45 1
12 47 1
12 51 1
12 52 1
12 53 1
12 54 1
12 55 1
12 57 1
12 58 1
12 6 1
12 61 1
12 62 1
12 66 1
12 67 1
12 69 1
12 7 1
12 71 1
12 73 1
12 74 1
12 80 1
12 83 1
12 84 1
12 86 1
12 87 1
12 94 1
12 95 1
12 96 1
12 97 1
12 98 1
12 99 1
13 12 1
13 14 1
13 18 1
13 34 1
13 51 1
13 6 1
13 70 1
13 86 1
13 87 1
13 98 1
14 23 1
14 26 1
14 30 1
14 51 1
14 56 1
14 67 1
14 79 1
14 8 1
14 88 1
14 9 1
14 93 1
15 100 1
15 11 1
15 2 1
15 56 1
15 57 1
15 58 1
15 62 1
15 66 1
15 75 1
15 96 1
15 99 1
16 3 1
16 40 1
16 70 1
16 75 1
17 29 1
17 30 1
17 35 1
17 36 1
17 73 1
17 88 1
17 91 1
18 19 1
18 20 1
18 2 1
18 24 1
18 48 1
18 64 1
18 68 1
18 80 1
18 8 1
18 85 1
19 12 1
19 20 1
19 22 1
19 28 1
19 33 1
19 52 1
19 54 1
19 69 1
19 7 1
19 76 1
19 79 1
19 93 1
20 12 1
20 15 1
20 21 1
20 24 1
20 49 1
20 5 1
20 58 1
20 69 1
20 72 1
20 79 1
20 82 1
20 86 1
21 10 1
21 13 1
21 19 1
21 26 1
21 30 1
21 34 1
21 39 1
21 55 1
21 61 1
21 64 1
21 76 1
21 80 1
21 86 1
21 9 1
22 12 1
22 20 1
22 31 1
22 32 1
22 34 1
22 35 1
22 48 1
22 5 1
22 53 1
22 63 1
22 79 1
22 82 1
22 87 1
22 95 1
23 18 1
23 22 1
23 46 1
23 77 1
23 85 1
23 99 1
24 12 1
24 13 1
24 15 1
24 28 1
24 41 1
24 64 1
24 87 1
25 14 1
25 24 1
25 45 1
25 47 1
25 56 1
25 7 1
25 73 1
25 77 1
25 79 1
25 83 1
25 86 1
25 94 1
26 100 1
26 12 1
26 19 1
26 28 1
26 31 1
26 79 1
26 80 1
26 81 1
26 89 1
27 28 1
27 3 1
27 33 1
27 5 1
27 69 1
27 70 1
27 75 1
27 77 1
27 96 1
28 10 1
28 12 1
28 4 1
28 44 1
28 51 1
28 52 1
28 64 1
28 67 1
28 70 1
28 81 1
28 88 1
28 92 1
28 93 1
29 10 1
29 1 1
29 12 1
29 26 1
29 43 1
29 55 1
29 6 1
29 63 1
29 79 1
29 95 1
30 12 1
30 13 1
30 15 1
30 18 1
30 22 1
30 38 1
30 72 1
30 9 1
30 91 1
30 95 1
30 99 1
31 1 1
31 12 1
31 13 1
31 19 1
31 42 1
31 46 1
31 6 1
31 67 1
31 72 1
31 97 1
32 12 1
32 16 1
32 21 1
32 3 1
32 38 1
32 39 1
32 5 1
32 76 1
32 78 1
32 87 1
32 97 1
33 32 1
33 52 1
33 57 1
33 63 1
33 70 1
33 77 1
33 80 1
33 84 1
34 39 1
34 43 1
34 44 1
34 7 1
34 73 1
34 77 1
34 82 1
34 83 1
35 12 1
35 13 1
35 21 1
35 32 1
35 37 1
35 42 1
35 44 1
35 46 1
35 52 1
35 84 1
36 1 1
36 2 1
36 22 1
36 26 1
36 29 1
36 4 1
36 47 1
36 57 1
36 58 1
36 90 1
36 94 1
36 99 1
37 20 1
37 31 1
37 33 1
37 36 1
37 4 1
37 44 1
37 45 1
37 6 1
37 74 1
37 8 1
37 87 1
38 10 1
38 22 1
38 37 1
38 4 1
38 48 1
38 49 1
38 58 1
38 59 1
38 79 1
39 12 1
39 29 1
39 47 1
39 48 1
39 51 1
39 52 1
39 95 1
40 10 1
40 12 1
40 43 1
40 44 1
40 56 1
40 62 1
40 65 1
40 66 1
40 83 1
41 10 1
